Chapter,ID,Chunk,Fellowship
19,52,"[Sam]: ‘Well,’ said Sam, 
[Sam]: ‘you can’t see nobody working it. No fireworks like poor old 
Gandalf used to show. I wonder we don’t see nothing of the Lord 
and Lady in all these days.’

[Sam]: ‘I fancy now that she could do some wonderful things, if
she had a mind. I’d dearly love to see some Elf-magic, Mr.
Frodo!’
[Frodo]: ‘I wouldn’t,’ said Frodo.
[Frodo]: ‘I am content. And I don’t miss Gandalf’s fireworks, 
but his bushy eyebrows, and his quick temper, and his voice.’

[Sam]: ‘You’re right,’ said Sam.
[Sam]: ‘And don’t think I’m finding fault.’",Positive
9,44,"The Bree-hobbits were, in fact, friendly and inquisitive,
and Frodo soon found that some explanation of what he was
doing would have to be given.

He gave out that he was
interested in history and geography (at which there was much
wagging of heads, although neither of these words were
much used in the Bree-dialect).",Neutral
16,4,"[Gandalf]: ‘to go back is to admit defeat, and face worse defeat to come.
If we go back now, then the Ring must remain there: we shall not be able 
to set out again.’

[Gandalf]: ‘Then sooner or later Rivendell will be besieged,
and after a brief and bitter time it will be destroyed. The
Ringwraiths are deadly enemies, but they are only shadows
yet of the power and terror they would possess if the Ruling
Ring was on their master’s hand again.’

[Frodo]: ‘Then we must go on, if there is a way,’ said Frodo with a
sigh. Sam sank back into gloom.",Negative
14,102,"[Gandalf]: ‘And if that is not proof enough, Galdor, there is the other
test that I spoke of.’

[Gandalf]: ‘Upon this very ring which you have here
seen held aloft, round and unadorned, the letters that Isildur
reported may still be read, if one has the strength of will to
set the golden thing in the fire a while.’

[Gandalf]: ‘That I have done, and this I have read:
Ash nazg durbatuluk, ash nazg gimbatul, ash nazg
thrakatuluk agh burzum-ishi krimpatul.’

The change in the wizard’s voice was astounding.",Neutral
22,27,"[Frodo]: ‘But I am glad to have heard you speak so fully. 
My mind is clearer now.’

[Boromir]: ‘Then you will come to Minas Tirith?’ cried Boromir.
His eyes were shining and his face eager.

[Frodo]: ‘You misunderstand me,’ said Frodo.
[Boromir]: ‘But you will come, at least for a while?’ Boromir persisted.

[Boromir]: ‘My city is not far now; and it is little further from there to
Mordor than from here.’",Positive
5,20,"[Frodo]: ‘It’s delightful!’ he said with an effort.
[Frodo]: ‘I hardly feel that I have moved at all.’

The travellers hung up their cloaks, and piled their packs 
on the floor. Merry led them down the passage and threw 
open a door at the far end. Firelight came out, and a puff 
of steam.

[Pippin]: ‘A bath!’ cried Pippin.
[Pippin]: ‘O blessed Meriadoc!’
[Frodo]: ‘Which order shall we go in?’ said Frodo.
[Frodo]: ‘Eldest first, or quickest first? You’ll be last either 
way, Master Peregrin.’",Positive
3,109,"[Elves]: ‘Come!’ the Elves called to the hobbits.
[Elves]: ‘Come! Now is the time for speech and merriment!’
Pippin sat up and rubbed his eyes. He shivered.

[Elf]: ‘There is a fire in the hall, and food for hungry guests,’ 
said an Elf standing before him. At the south end of the greensward 
there was an opening. There the green floor ran on into the wood, 
and formed a wide space like a hall, roofed by the boughs of trees.

Their great trunks ran like pillars down each side.",Negative
6,63,"The twigs crackled.

Little fingers of fire licked against the dry scored rind 
of the ancient tree and scorched it. A tremor ran through 
the whole willow. The leaves seemed to hiss above their 
heads with a sound of pain and anger.

A loud scream came from Merry, and from far
inside the tree they heard Pippin give a muffled yell.

[Merry]: ‘Put it out! Put it out!’ cried Merry.

[Merry]: ‘He’ll squeeze me in two, if you don’t. He says so!’
[Frodo]: ‘Who? What?’ shouted Frodo, rushing round to 
the other side of the tree.",Negative
1,11,"[Gaffer]: ‘A very nice well-spoken gentlehobbit is Mr. Bilbo, as I’ve
always said,’ the Gaffer declared.

With perfect truth: for Bilbo
was very polite to him, calling him ‘Master Hamfast’, and

consulting him constantly upon the growing of vegetables –
in the matter of ‘roots’, especially potatoes, the Gaffer was
recognized as the leading authority by all in the neighbour-
hood (including himself).

[Old Noakes]: ‘But what about this Frodo that lives with him?’ asked Old
Noakes of Bywater.",Neutral
10,76,"Merry was still reading and pondering Gandalf’s letter 
when Strider and Nob returned.

[Nob]: ‘Well Masters,’ said Nob, 
[Nob]: ‘I’ve ruffled up the clothes and
put in a bolster down the middle of each bed.
And I made a
nice imitation of your head with a brown woollen mat, Mr.
Bag – Underhill, sir,’ he added with a grin.

Pippin laughed.

[Pippin]: ‘Very life-like!’ he said.

[Pippin]: ‘But what will
happen when they have penetrated the disguise?’
[Aragorn]: ‘We shall see,’ said Strider.

[Aragorn]: ‘Let us hope to hold the fort
till morning.’",Positive
1,52,"There were many Bagginses and Boffins, and also many
Tooks and Brandybucks; there were various Grubbs (re-
lations of Bilbo Baggins’ grandmother), and various Chubbs
(connexions of his Took grandfather); and a selection of
Burrowses, Bolgers, Bracegirdles, Brockhouses, Goodbodies,
Hornblowers and Proudfoots. Some of these were only very
distantly connected with Bilbo, and some had hardly ever
been in Hobbiton before, as they lived in remote corners of
the Shire.",Neutral
8,31,"A change was coming in the weather. The mist was flowing 
past him now in shreds and tatters. His breath was smoking, 
and the darkness was less near and thick.

He looked up and saw with surprise that faint stars were 
appearing overhead amid the strands of hurrying cloud and fog.
The wind began to hiss over the grass.

He imagined suddenly that he caught a muffled cry, and
he made towards it; and even as he went forward the mist was
rolled up and thrust aside, and the starry sky was unveiled.",Positive
14,107,"[Aragorn]: ‘He is in prison, but no worse,’ said Aragorn.
[Aragorn]: ‘He had suffered much.’

[Aragorn]: ‘There is no doubt that he was tormented,
and the fear of Sauron lies black on his heart. Still I for
one am glad that he is safely kept by the watchful Elves of
Mirkwood. His malice is great and gives him a strength hardly
to be believed in one so lean and withered. He could work
much mischief still, if he were free.’

[Aragorn]: ‘And I do not doubt that
he was allowed to leave Mordor on some evil errand.’",Positive
7,71,"Frodo laughed (trying to feel pleased), and taking off the
Ring he came and sat down again.

Tom now told them that
he reckoned the Sun would shine tomorrow, and it would be
a glad morning, and setting out would be hopeful.

But they would do well to start early; for weather in that country was
a thing that even Tom could not be sure of for long, and it would 
change sometimes quicker than he could change his jacket.

[Tom Bombadil]: ‘I am no weather-master,’ said he; 
[Tom Bombadil]: ‘nor is aught that goes on two legs.’",Positive
16,77,"[Gandalf]: ‘I can still remember ten score of them without searching in my mind.
But only a few trials, I think, will be needed; and I shall not have to call on Gimli 
for words of the secret dwarf-tongue that they teach to none. The opening 
words were Elvish, like the writing on the arch: that seems certain.’

He stepped up to the rock again, and lightly touched with
his staff the silver star in the middle beneath the sign of the
anvil.

[Gandalf]: ‘Annon edhellen, edro hi ammen! 
Fennas nogothrim, lasto beth lammen!’
he said in a commanding voice.",Neutral
4,49,"Sam sipped his beer suspiciously.

He had a natural mistrust of the inhabitants of other parts of the 
Shire; and also he was not disposed to be quick friends with anyone 
who had beaten his master, however long ago.

After a few remarks about the weather and the agricultural
prospects (which were no worse than usual), Farmer Maggot
put down his mug and looked at them all in turn.

[Old Maggot]: ‘Now, Mr. Peregrin,’ he said, 
[Old Maggot]: ‘where might you be coming
from, and where might you be going to?
Were you coming to visit me?
For, if so, you had gone past my gate without
my seeing you.’",Negative
15,107,"Frodo’s feet felt like lead. Pippin was dragging behind.
Even Gimli, as stout as any dwarf could be, was grumbling 
as he trudged. The Company halted suddenly, as if they had 
come to an agreement without any words being spoken.

They heard eerie noises in the darkness round them. It may have been 
only a trick of the wind in the cracks and gullies of the rocky wall, but 
the sounds were those of shrill cries, and wild howls of laughter.",Negative
21,54,"They made no camp and lit no fire, but lay huddled in the boats, 
moored close together.

[Gimli]: ‘Praised be the bow of Galadriel, and the hand and eye of
Legolas!’ said Gimli, as he munched a wafer of lembas.
[Gimli]: ‘That was a mighty shot in the dark, my friend!’
[Legolas]: ‘But who can say what it hit?’ said Legolas.
[Gimli]: ‘I cannot,’ said Gimli.

[Gimli]: ‘But I am glad that the shadow came
no nearer. I liked it not at all. Too much it reminded me of
the shadow in Moria – the shadow of the Balrog,’ he ended
in a whisper.",Positive
2,1,"The talk did not die down in nine or even ninety-nine days.

The second disappearance of Mr. Bilbo Baggins was dis-
cussed in Hobbiton, and indeed all over the Shire, for a year
and a day, and was remembered much longer than that.

It became a fireside-story for young hobbits; and eventually
Mad Baggins, who used to vanish with a bang and a flash
and reappear with bags of jewels and gold, became a favourite
character of legend and lived on long after all the true events
were forgotten.",Neutral
1,78,"At that moment the door opened and Gandalf came
quickly in.

[Bilbo]: ‘Hullo!’ said Bilbo.

[Gandalf]: ‘I wondered if you would turn up.’
[Gandalf]: ‘I am glad to find you visible,’ replied the wizard, sitting
down in a chair, 
[Gandalf]: ‘I wanted to catch you and have a few final words.
I suppose you feel that everything has gone off
splendidly and according to plan?’

[Bilbo]: ‘Yes, I do,’ said Bilbo.
[Bilbo]: ‘Though that flash was surprising:
it quite startled me, let alone the others.
A little addition of your own, I suppose?’",Positive
2,8,"But half unknown to himself the regret that
he had not gone with Bilbo was steadily growing.

He found
himself wondering at times, especially in the autumn, about
the wild lands, and strange visions of mountains that he had
never seen came into his dreams.

He began to say to himself:
[Frodo]: ‘Perhaps I shall cross the River myself one day.’",Negative
13,29,"But to the wizard’s eye there was a faint change, just a hint as 
it were of transparency, about him, and especially about the 
left hand that lay outside upon the coverlet.

[Gandalf]: ‘Still that must be expected,’  said Gandalf to himself.

[Gandalf]: ‘He is not half through yet, and to what he will come 
in the end not even Elrond can foretell. Not to evil, I think.
He may become like a glass filled with a clear light for eyes 
to see that can.’",Neutral
6,64,"[Merry]: ‘Put it out! Put it out!’ cried Merry.

[Merry]: ‘He’ll squeeze me in two, if you don’t. He says so!’
[Frodo]: ‘Who? What?’ shouted Frodo, rushing round to 
the other side of the tree.

[Merry]: ‘Put it out! Put it out!’ begged Merry.

The branches of the
willow began to sway violently.",Negative
3,100,"[Pippin]: ‘Tell us about the Black Riders!’
[Elves]: ‘Black Riders?’ they said in low voices.

[Elves]: ‘Why do you ask about Black Riders?’

[Pippin]: ‘Because two Black Riders have overtaken us today, or one
has done so twice,’ said Pippin; 
[Pippin]: ‘only a little while ago he
slipped away as you drew near.’

The Elves did not answer at once, but spoke together softly
in their own tongue. At length Gildor turned to the hobbits.

[Gildor]: ‘We will not speak of this here,’ he said.

[Gildor]: ‘We think you had
best come now with us.’",Neutral
2,116,"[Frodo]: ‘What a pity that Bilbo did not stab that
vile creature, when he had a chance!’

[Gandalf]: ‘Pity? It was Pity that stayed his hand.
Pity, and Mercy: not to strike without need.
And he has been well rewarded, Frodo.’

[Gandalf]: ‘Be sure that he took so little hurt from the evil, and
escaped in the end, because he began his ownership of the
Ring so. With Pity.’",Negative
18,27,"[Aragorn]: ‘The mail is marvellously light,’ he said.
[Aragorn]: ‘Put it on again, if you can bear it.
My heart is glad to know that you have
such a coat.’

[Aragorn]: ‘Do not lay it aside, even in sleep, unless fortune
brings you where you are safe for a while; and that will seldom
chance while your quest lasts.’

When they had eaten, the Company got ready to go on.
They put out the fire and hid all traces of it. Then climbing
out of the dell they took to the road again.",Positive
10,17,"[Aragorn]: ‘You can do as you
like about my reward: take me as a guide or not.’

[Aragorn]: ‘But I may say that I know all the lands between 
the Shire and the Misty Mountains, for I have wandered over 
them for many years. I am older than I look. I might prove 
useful. You will have to leave the open road after tonight; 
for the horsemen will watch it night and day.’

[Aragorn]: ‘You may escape from Bree, and be allowed to go 
forward while the Sun is up; but you won’t go far.",Neutral
21,69,"[Aragorn]: ‘Boats of the Elves would not sink, maybe,’ he said, 
[Aragorn]: ‘but that does not say that we should come through 
Sarn Gebir alive. None have ever done so yet.’

[Aragorn]: ‘No road was made by the
Men of Gondor in this region, for even in their great days
their realm did not reach up Anduin beyond the Emyn Muil;
but there is a portage-way somewhere on the western shore,
if I can find it.’",Neutral
9,3,"Few had survived the turmoils of the Elder Days; but when 
the Kings returned again over the Great Sea they had found 
the Bree-men still there, and they were still there now, when 
the memory of the old Kings had faded into the grass.

In those days no other Men had settled dwellings so far
west, or within a hundred leagues of the Shire.

But in the wild lands beyond Bree there were mysterious 
wanderers. The Bree-folk called them Rangers, and knew 
nothing of their origin.",Neutral
10,56,"They did not dare to move. Sam sat wide-mouthed 
staring at him dumbly.

[Aragorn]: ‘But I am the real Strider, fortunately,’ he said, looking
down at them with his face softened by a sudden smile.

[Aragorn]: ‘I am Aragorn son of Arathorn; and if by life or 
death I can save you, I will.’

There was a long silence. At last Frodo spoke with hesitation.

[Frodo]: ‘I believed that you were a friend before the letter came,’
he said, 
[Frodo]: ‘or at least I wished to.’",Positive
2,139,"It was so strong that it
overcame his fear: he could almost have run out there and
then down the road without his hat, as Bilbo had done on a
similar morning long ago.

[Gandalf]: ‘My dear Frodo!’ exclaimed Gandalf.

[Gandalf]: ‘Hobbits really are amazing creatures, 
as I have said before. You can learn all that there is to know 
about their ways in a month, and yet after a hundred years they 
can still surprise you at a pinch.

[Gandalf]: ‘I hardly expected to get such an answer, 
not even from you.’",Positive
13,46,"The sound of running and falling
water was loud, and the evening was filled with a faint scent
of trees and flowers, as if summer still lingered in Elrond’s
gardens.

[Pippin]: ‘Hurray!’ cried Pippin, springing up.
[Pippin]: ‘Here is our noble cousin!
Make way for Frodo, Lord of the Ring!’
[Gandalf]: ‘Hush!’ said Gandalf from the shadows at 
the back of the porch.

[Gandalf]: ‘Evil things do not come into this valley; but all the
same we should not name them.’",Positive
14,166,"Gandalf laughed.

[Gandalf]: ‘Don’t be afraid!’ he said.
[Gandalf]: ‘I did not bite, and I barked very little. So overjoyed was I by the 
news that I got out of him, when he stopped quaking, that I embraced the 
old fellow.’

[Gandalf]: ‘How it had happened I could not then guess, but I learned that you 
had been in Bree the night before, and had gone off that morning with Strider.
[Gandalf]: ‘‘Strider!’’ I cried, shouting for joy.’",Positive
13,95,"[Bilbo]: ‘Elrond says this song of mine is to be
finished before the end of the evening, and I am stuck.Let’s
go off into a corner and polish it up!’

Strider smiled.
[Aragorn]: ‘Come then!’ he said.
[Aragorn]: ‘Let me hear it!’

Frodo was left to himself for a while, for Sam had fallen
asleep. He was alone and felt rather forlorn, although all
about him the folk of Rivendell were gathered.

But those near him were silent, intent upon the music of the voices 
and the instruments, and they gave no heed to anything else.",Negative
10,9,"[Frodo]: ‘I don’t see what interest my name has for anyone in Bree,’
said Frodo angrily, 
[Frodo]: ‘and I have still to learn why it interests
you. Mr. Strider may have an honest reason for spying and
eavesdropping; but if so, I should advise him to explain it.’

[Aragorn]: ‘Well answered!’ said Strider laughing.

[Aragorn]: ‘But the explanation is simple: I was looking for 
a Hobbit called Frodo Baggins. I wanted to find him quickly.
I had learned that he was carrying out of the Shire, well, 
a secret that concerned me and my friends.’

[Aragorn]: ‘Now, don’t mistake me!’ he cried, as Frodo rose from his
seat, and Sam jumped up with a scowl.",Negative
11,111,"[Aragorn]: ‘But from her the lineage of the Elf-lords of old
descended among Men.’

[Aragorn]: ‘There live still those of whom
Luthien was the foremother, and it is said that her line shall
never fail. Elrond of Rivendell is of that Kin. For of Beren
and Luthien was born Dior Thingol’s heir; and of him Elwing
the White whom Earendil wedded, he that sailed his ship out
of the mists of the world into the seas of heaven with the
Silmaril upon his brow.’

[Aragorn]: ‘And of Earendil came the Kings of
Numenor, that is Westernesse.’",Neutral
14,74,"[Galdor]: ‘What is his counsel – if he knows the things that we have heard?’

[Elrond]: ‘The questions that you ask, Galdor, are bound together,’ 
said Elrond.
[Elrond]: ‘I had not overlooked them, and they shall be answered.
But these things it is the part of Gandalf to make
clear; and I call upon him last, for it is the place of honour,
and in all this matter he has been the chief.’",Neutral
22,79,"[Frodo]: ‘But I am going to Mordor.’
[Sam]: ‘I know that well enough, Mr. Frodo. Of course you are.
And I’m coming with you.’

[Frodo]: ‘Now, Sam,’ said Frodo, 
[Frodo]: ‘don’t hinder me! The others will be coming back at any minute.
If they catch me here, I shall have to argue and explain, and I shall never 
have the heart or the chance to get off. But I must go at once. It’s the only way.’
[Sam]: ‘Of course it is,’ answered Sam.

[Sam]: ‘But not alone. I’m coming too, or neither of us isn’t going. I’ll knock 
holes in all the boats first.’
Frodo actually laughed.",Positive
15,70,"[Gimli]: ‘There is the land where our fathers worked
of old, and we have wrought the image of those mountains
into many works of metal and of stone, and into many
songs and tales. They stand tall in our dreams: Baraz, Zirak,
Shathur.’

[Gimli]: ‘Only once before have I seen them from afar in waking
life, but I know them and their names, for under them lies
Khazad-dum, the Dwarrowdelf, that is now called the Black
Pit, Moria in the Elvish tongue.’",Neutral
18,127,"[Aragorn]: ‘Arwen vanimelda, namarie!’ he said, and then
he drew a breath, and returning out of his thought he looked
at Frodo and smiled.

[Aragorn]: ‘Here is the heart of Elvendom on earth,’ he said, 
[Aragorn]: ‘and here my heart dwells ever, unless there be a 
light beyond the dark roads that we still must tread, you and I. 
Come with me!’

And taking Frodo’s hand in his, he left the hill of Cerin
Amroth and came there never again as living man.",Positive
6,72,"[Tom Bombadil]: ‘Now, my little fellows, where be 
you a-going to, puffing like a bellows? What’s the 
matter here then? Do you know who I am?
I’m Tom Bombadil. Tell me what’s your trouble!
Tom’s in a hurry now. Don’t you crush my lilies!’

[Frodo]: ‘My friends are caught in the willow-tree,’ cried Frodo
breathlessly.

[Sam]: ‘Master Merry’s being squeezed in a crack!’ cried Sam.

[Tom Bombadil]: ‘What?’ shouted Tom Bombadil, 
leaping up in the air.

[Tom Bombadil]: ‘Old Man Willow? Naught worse 
than that, eh? That can soon be mended.’",Negative
10,75,"[Aragorn]: ‘Stay here, and do not go to your rooms!
They are sure to have found out which those are.’

[Aragorn]: ‘The hobbit-rooms have windows looking north 
and close  to the ground. We will all remain together and 
bar this  window and the door. But first
Nob and I will fetch your luggage.’

While Strider was gone, Frodo gave Merry a rapid account
of all that had happened since supper.

Merry was still reading and pondering Gandalf’s letter 
when Strider and Nob returned.",Neutral
19,29,"[Galadriel]: ‘I it was who first summoned the White Council.
And if my designs had not gone amiss, it would have been 
governed by Gandalf the Grey, and then mayhap things would 
have gone otherwise. But even now there is hope left.
I will not give you counsel, saying do this, or do that.’

[Galadriel]: ‘For not in doing
or contriving, nor in choosing between this course and
another, can I avail; but only in knowing what was and is,
and in part also what shall be.’",Neutral
14,165,"[Gandalf]: ‘But it seemed to me that one or two had ridden towards Bree; 
and that way I went, for I thought of words that might be said to the innkeeper.
‘ [Gandalf]: ‘‘Butterbur they call him,’’ thought I. [Gandalf]: ‘‘If this delay
was his fault, I will melt all the butter in him. I will roast the
old fool over a slow fire.’’ ’

[Gandalf]: ‘He expected no less, and when he saw my face he fell down flat 
and began to melt on the spot.’

[Frodo]: ‘What did you do to him?’ cried Frodo in alarm. 
[Frodo]: ‘He was really very kind to us and did all that he could.’",Negative
14,190,"[Elrond]: ‘Too often the Elves have fled that way. Now at this last  we must 
take a hard road, a road unforeseen. There lies our hope, if hope it be.’ 

[Elrond]: ‘To walk into peril – to Mordor. We must send the Ring to the Fire.’

Silence fell again. Frodo, even in that fair house, looking out upon a sunlit valley 
filled with the noise of clear waters, felt a dead darkness in his heart. Boromir 
stirred, and Frodo looked at him. He was fingering his great horn and frowning. 

At length he spoke.
[Boromir]: ‘I do not understand all this,’ he said.",Negative
